no,성별,결혼,학력,연령,도구,보상,정보,디자인,공동체,몰입,충성도
42,1,1,1,37,4,12,9,18,16,12,11
43,2,2,1,24,4,13,6,15,22,10,9
44,1,2,3,28,4,13,7,20,18,11,9
45,2,2,4,29,4,13,10,16,20,10,10
46,2,2,2,28,4,14,9,21,19,12,9
47,2,2,3,28,4,14,9,21,19,12,9
48,2,1,2,26,4,14,9,22,19,12,11
49,2,2,4,27,4,14,11,17,19,12,10
50,2,2,4,27,4,14,11,17,19,12,10
51,2,2,4,25,5,4,5,9,18,10,7
52,1,2,2,23,5,5,6,18,22,11,8
53,2,2,3,21,5,6,6,15,13,8,5
54,1,2,3,15,5,6,8,8,15,12,9
55,2,2,2,17,5,6,9,9,7,10,5
56,2,2,2,27,5,6,9,14,18,12,7
57,2,1,2,29,5,7,5,21,15,12,9
58,2,2,2,30,5,7,7,20,22,14,11
59,2,1,3,34,5,7,9,16,19,12,9
60,1,1,2,26,5,8,7,17,19,15,10
61,2,2,4,29,5,8,9,21,19,14,11
62,2,2,2,34,5,8,12,20,23,14,11
63,1,1,3,32,5,9,6,23,16,11,9
64,2,2,2,19,5,9,7,17,21,12,9
65,1,2,3,15,5,9,8,22,21,13,11
66,2,1,3,38,5,9,9,16,22,13,11
67,2,1,3,33,5,9,9,23,18,14,11
68,2,1,4,31,5,9,10,18,18,11,11
69,2,2,1,20,5,9,10,20,21,14,11
70,2,2,4,13,5,9,11,16,19,10,10
71,2,2,4,13,5,9,11,16,19,10,10
72,1,2,4,26,5,10,6,16,18,13,11
73,2,2,4,28,5,10,7,16,21,11,9
74,1,2,4,21,5,10,8,21,20,11,9
75,2,2,4,30,5,10,9,16,21,14,9
76,2,2,4,23,5,10,9,23,20,13,11
77,2,2,4,19,5,11,7,22,18,10,11
78,2,2,1,22,5,11,8,20,19,14,11
79,1,2,4,31,5,11,9,18,16,10,9
80,2,2,1,24,5,11,9,21,21,12,11
81,2,1,3,32,5,11,10,16,15,11,9
82,2,2,3,25,5,11,10,20,22,15,12
83,2,2,3,25,5,11,10,21,17,13,10
84,2,2,3,25,5,11,10,21,17,13,10
